34
0	0 0
1	0 1	3,4
3	0 2	2,4 3,4
7	0 3	1,4 2,4 3,4
15	1 4	0,4 1,4 2,4 3,4
19	0 3	2,3 2,4 3,4
20	0 2	1,4 2,3
21	0 3	1,4 2,3 3,4
23	0 4	1,4 2,3 2,4 3,4
28	0 3	0,4 1,4 2,3
29	1 4	0,4 1,4 2,3 3,4
31	1 5	0,4 1,4 2,3 2,4 3,4
54	0 4	1,3 1,4 2,3 2,4
55	0 5	1,3 1,4 2,3 2,4 3,4
58	1 4	0,4 1,3 2,3 2,4
59	1 5	0,4 1,3 2,3 2,4 3,4
62	1 5	0,4 1,3 1,4 2,3 2,4
63	1 6	0,4 1,3 1,4 2,3 2,4 3,4
126	1 6	0,3 0,4 1,3 1,4 2,3 2,4
127	1 7	0,3 0,4 1,3 1,4 2,3 2,4 3,4
183	0 6	1,2 1,3 1,4 2,3 2,4 3,4
184	0 4	0,4 1,2 1,3 2,3
185	1 5	0,4 1,2 1,3 2,3 3,4
187	1 6	0,4 1,2 1,3 2,3 2,4 3,4
191	1 7	0,4 1,2 1,3 1,4 2,3 2,4 3,4
207	1 6	0,3 0,4 1,2 1,4 2,4 3,4
220	1 5	0,3 0,4 1,2 1,4 2,3
221	1 6	0,3 0,4 1,2 1,4 2,3 3,4
223	1 7	0,3 0,4 1,2 1,4 2,3 2,4 3,4
254	1 7	0,3 0,4 1,2 1,3 1,4 2,3 2,4
255	1 8	0,3 0,4 1,2 1,3 1,4 2,3 2,4 3,4
495	1 8	0,2 0,3 0,4 1,2 1,3 1,4 2,4 3,4
511	1 9	0,2 0,3 0,4 1,2 1,3 1,4 2,3 2,4 3,4
1023	1 10	0,1 0,2 0,3 0,4 1,2 1,3 1,4 2,3 2,4 3,4
