218
0	0 0
1	0 1	3,2
3	0 2	3,1 3,2
7	1 3	3,0 3,1 3,2
9	0 2	2,3 3,2
10	0 2	2,3 3,1
11	0 3	2,3 3,1 3,2
14	1 3	2,3 3,0 3,1
15	1 4	2,3 3,0 3,1 3,2
18	0 2	2,1 3,1
19	0 3	2,1 3,1 3,2
20	0 2	2,1 3,0
21	1 3	2,1 3,0 3,2
22	1 3	2,1 3,0 3,1
23	1 4	2,1 3,0 3,1 3,2
27	0 4	2,1 2,3 3,1 3,2
29	1 4	2,1 2,3 3,0 3,2
30	1 4	2,1 2,3 3,0 3,1
31	1 5	2,1 2,3 3,0 3,1 3,2
54	1 4	2,0 2,1 3,0 3,1
55	1 5	2,0 2,1 3,0 3,1 3,2
63	1 6	2,0 2,1 2,3 3,0 3,1 3,2
73	0 3	1,3 2,3 3,2
75	0 4	1,3 2,3 3,1 3,2
76	1 3	1,3 2,3 3,0
77	1 4	1,3 2,3 3,0 3,2
79	1 5	1,3 2,3 3,0 3,1 3,2
81	0 3	1,3 2,1 3,2
83	0 4	1,3 2,1 3,1 3,2
84	1 3	1,3 2,1 3,0
85	1 4	1,3 2,1 3,0 3,2
86	1 4	1,3 2,1 3,0 3,1
87	1 5	1,3 2,1 3,0 3,1 3,2
90	0 4	1,3 2,1 2,3 3,1
91	0 5	1,3 2,1 2,3 3,1 3,2
92	1 4	1,3 2,1 2,3 3,0
93	1 5	1,3 2,1 2,3 3,0 3,2
94	1 5	1,3 2,1 2,3 3,0 3,1
95	1 6	1,3 2,1 2,3 3,0 3,1 3,2
98	0 3	1,3 2,0 3,1
99	1 4	1,3 2,0 3,1 3,2
100	1 3	1,3 2,0 3,0
101	1 4	1,3 2,0 3,0 3,2
102	1 4	1,3 2,0 3,0 3,1
103	1 5	1,3 2,0 3,0 3,1 3,2
106	1 4	1,3 2,0 2,3 3,1
107	1 5	1,3 2,0 2,3 3,1 3,2
108	1 4	1,3 2,0 2,3 3,0
109	1 5	1,3 2,0 2,3 3,0 3,2
110	1 5	1,3 2,0 2,3 3,0 3,1
111	1 6	1,3 2,0 2,3 3,0 3,1 3,2
115	1 5	1,3 2,0 2,1 3,1 3,2
116	1 4	1,3 2,0 2,1 3,0
117	1 5	1,3 2,0 2,1 3,0 3,2
118	1 5	1,3 2,0 2,1 3,0 3,1
119	1 6	1,3 2,0 2,1 3,0 3,1 3,2
122	1 5	1,3 2,0 2,1 2,3 3,1
123	1 6	1,3 2,0 2,1 2,3 3,1 3,2
124	1 5	1,3 2,0 2,1 2,3 3,0
125	1 6	1,3 2,0 2,1 2,3 3,0 3,2
126	1 6	1,3 2,0 2,1 2,3 3,0 3,1
127	1 7	1,3 2,0 2,1 2,3 3,0 3,1 3,2
219	0 6	1,2 1,3 2,1 2,3 3,1 3,2
220	1 5	1,2 1,3 2,1 2,3 3,0
221	1 6	1,2 1,3 2,1 2,3 3,0 3,2
223	1 7	1,2 1,3 2,1 2,3 3,0 3,1 3,2
228	1 4	1,2 1,3 2,0 3,0
229	1 5	1,2 1,3 2,0 3,0 3,2
230	1 5	1,2 1,3 2,0 3,0 3,1
231	1 6	1,2 1,3 2,0 3,0 3,1 3,2
237	1 6	1,2 1,3 2,0 2,3 3,0 3,2
238	1 6	1,2 1,3 2,0 2,3 3,0 3,1
239	1 7	1,2 1,3 2,0 2,3 3,0 3,1 3,2
246	1 6	1,2 1,3 2,0 2,1 3,0 3,1
247	1 7	1,2 1,3 2,0 2,1 3,0 3,1 3,2
255	1 8	1,2 1,3 2,0 2,1 2,3 3,0 3,1 3,2
292	1 3	1,0 2,0 3,0
293	1 4	1,0 2,0 3,0 3,2
295	1 5	1,0 2,0 3,0 3,1 3,2
301	1 5	1,0 2,0 2,3 3,0 3,2
302	1 5	1,0 2,0 2,3 3,0 3,1
303	1 6	1,0 2,0 2,3 3,0 3,1 3,2
310	1 5	1,0 2,0 2,1 3,0 3,1
311	1 6	1,0 2,0 2,1 3,0 3,1 3,2
319	1 7	1,0 2,0 2,1 2,3 3,0 3,1 3,2
365	1 6	1,0 1,3 2,0 2,3 3,0 3,2
367	1 7	1,0 1,3 2,0 2,3 3,0 3,1 3,2
373	1 6	1,0 1,3 2,0 2,1 3,0 3,2
375	1 7	1,0 1,3 2,0 2,1 3,0 3,1 3,2
382	1 7	1,0 1,3 2,0 2,1 2,3 3,0 3,1
383	1 8	1,0 1,3 2,0 2,1 2,3 3,0 3,1 3,2
511	1 9	1,0 1,2 1,3 2,0 2,1 2,3 3,0 3,1 3,2
585	1 4	0,3 1,3 2,3 3,2
587	1 5	0,3 1,3 2,3 3,1 3,2
591	1 6	0,3 1,3 2,3 3,0 3,1 3,2
593	1 4	0,3 1,3 2,1 3,2
594	1 4	0,3 1,3 2,1 3,1
595	1 5	0,3 1,3 2,1 3,1 3,2
596	1 4	0,3 1,3 2,1 3,0
597	1 5	0,3 1,3 2,1 3,0 3,2
598	1 5	0,3 1,3 2,1 3,0 3,1
599	1 6	0,3 1,3 2,1 3,0 3,1 3,2
601	1 5	0,3 1,3 2,1 2,3 3,2
602	1 5	0,3 1,3 2,1 2,3 3,1
603	1 6	0,3 1,3 2,1 2,3 3,1 3,2
604	1 5	0,3 1,3 2,1 2,3 3,0
605	1 6	0,3 1,3 2,1 2,3 3,0 3,2
606	1 6	0,3 1,3 2,1 2,3 3,0 3,1
607	1 7	0,3 1,3 2,1 2,3 3,0 3,1 3,2
625	1 5	0,3 1,3 2,0 2,1 3,2
626	1 5	0,3 1,3 2,0 2,1 3,1
627	1 6	0,3 1,3 2,0 2,1 3,1 3,2
630	1 6	0,3 1,3 2,0 2,1 3,0 3,1
631	1 7	0,3 1,3 2,0 2,1 3,0 3,1 3,2
633	1 6	0,3 1,3 2,0 2,1 2,3 3,2
634	1 6	0,3 1,3 2,0 2,1 2,3 3,1
635	1 7	0,3 1,3 2,0 2,1 2,3 3,1 3,2
638	1 7	0,3 1,3 2,0 2,1 2,3 3,0 3,1
639	1 8	0,3 1,3 2,0 2,1 2,3 3,0 3,1 3,2
659	1 5	0,3 1,2 2,1 3,1 3,2
660	0 4	0,3 1,2 2,1 3,0
661	1 5	0,3 1,2 2,1 3,0 3,2
663	1 6	0,3 1,2 2,1 3,0 3,1 3,2
666	1 5	0,3 1,2 2,1 2,3 3,1
667	1 6	0,3 1,2 2,1 2,3 3,1 3,2
669	1 6	0,3 1,2 2,1 2,3 3,0 3,2
670	1 6	0,3 1,2 2,1 2,3 3,0 3,1
671	1 7	0,3 1,2 2,1 2,3 3,0 3,1 3,2
674	1 4	0,3 1,2 2,0 3,1
675	1 5	0,3 1,2 2,0 3,1 3,2
678	1 5	0,3 1,2 2,0 3,0 3,1
679	1 6	0,3 1,2 2,0 3,0 3,1 3,2
683	1 6	0,3 1,2 2,0 2,3 3,1 3,2
686	1 6	0,3 1,2 2,0 2,3 3,0 3,1
687	1 7	0,3 1,2 2,0 2,3 3,0 3,1 3,2
694	1 6	0,3 1,2 2,0 2,1 3,0 3,1
695	1 7	0,3 1,2 2,0 2,1 3,0 3,1 3,2
703	1 8	0,3 1,2 2,0 2,1 2,3 3,0 3,1 3,2
729	1 6	0,3 1,2 1,3 2,1 2,3 3,2
731	1 7	0,3 1,2 1,3 2,1 2,3 3,1 3,2
732	1 6	0,3 1,2 1,3 2,1 2,3 3,0
733	1 7	0,3 1,2 1,3 2,1 2,3 3,0 3,2
735	1 8	0,3 1,2 1,3 2,1 2,3 3,0 3,1 3,2
737	1 5	0,3 1,2 1,3 2,0 3,2
739	1 6	0,3 1,2 1,3 2,0 3,1 3,2
741	1 6	0,3 1,2 1,3 2,0 3,0 3,2
742	1 6	0,3 1,2 1,3 2,0 3,0 3,1
743	1 7	0,3 1,2 1,3 2,0 3,0 3,1 3,2
745	1 6	0,3 1,2 1,3 2,0 2,3 3,2
746	1 6	0,3 1,2 1,3 2,0 2,3 3,1
747	1 7	0,3 1,2 1,3 2,0 2,3 3,1 3,2
748	1 6	0,3 1,2 1,3 2,0 2,3 3,0
749	1 7	0,3 1,2 1,3 2,0 2,3 3,0 3,2
750	1 7	0,3 1,2 1,3 2,0 2,3 3,0 3,1
751	1 8	0,3 1,2 1,3 2,0 2,3 3,0 3,1 3,2
753	1 6	0,3 1,2 1,3 2,0 2,1 3,2
755	1 7	0,3 1,2 1,3 2,0 2,1 3,1 3,2
756	1 6	0,3 1,2 1,3 2,0 2,1 3,0
757	1 7	0,3 1,2 1,3 2,0 2,1 3,0 3,2
758	1 7	0,3 1,2 1,3 2,0 2,1 3,0 3,1
759	1 8	0,3 1,2 1,3 2,0 2,1 3,0 3,1 3,2
761	1 7	0,3 1,2 1,3 2,0 2,1 2,3 3,2
762	1 7	0,3 1,2 1,3 2,0 2,1 2,3 3,1
763	1 8	0,3 1,2 1,3 2,0 2,1 2,3 3,1 3,2
764	1 7	0,3 1,2 1,3 2,0 2,1 2,3 3,0
765	1 8	0,3 1,2 1,3 2,0 2,1 2,3 3,0 3,2
766	1 8	0,3 1,2 1,3 2,0 2,1 2,3 3,0 3,1
767	1 9	0,3 1,2 1,3 2,0 2,1 2,3 3,0 3,1 3,2
819	1 6	0,3 1,0 2,0 2,1 3,1 3,2
822	1 6	0,3 1,0 2,0 2,1 3,0 3,1
823	1 7	0,3 1,0 2,0 2,1 3,0 3,1 3,2
826	1 6	0,3 1,0 2,0 2,1 2,3 3,1
827	1 7	0,3 1,0 2,0 2,1 2,3 3,1 3,2
830	1 7	0,3 1,0 2,0 2,1 2,3 3,0 3,1
831	1 8	0,3 1,0 2,0 2,1 2,3 3,0 3,1 3,2
875	1 7	0,3 1,0 1,3 2,0 2,3 3,1 3,2
876	1 6	0,3 1,0 1,3 2,0 2,3 3,0
877	1 7	0,3 1,0 1,3 2,0 2,3 3,0 3,2
879	1 8	0,3 1,0 1,3 2,0 2,3 3,0 3,1 3,2
883	1 7	0,3 1,0 1,3 2,0 2,1 3,1 3,2
885	1 7	0,3 1,0 1,3 2,0 2,1 3,0 3,2
886	1 7	0,3 1,0 1,3 2,0 2,1 3,0 3,1
887	1 8	0,3 1,0 1,3 2,0 2,1 3,0 3,1 3,2
891	1 8	0,3 1,0 1,3 2,0 2,1 2,3 3,1 3,2
892	1 7	0,3 1,0 1,3 2,0 2,1 2,3 3,0
893	1 8	0,3 1,0 1,3 2,0 2,1 2,3 3,0 3,2
894	1 8	0,3 1,0 1,3 2,0 2,1 2,3 3,0 3,1
895	1 9	0,3 1,0 1,3 2,0 2,1 2,3 3,0 3,1 3,2
947	1 7	0,3 1,0 1,2 2,0 2,1 3,1 3,2
949	1 7	0,3 1,0 1,2 2,0 2,1 3,0 3,2
951	1 8	0,3 1,0 1,2 2,0 2,1 3,0 3,1 3,2
955	1 8	0,3 1,0 1,2 2,0 2,1 2,3 3,1 3,2
957	1 8	0,3 1,0 1,2 2,0 2,1 2,3 3,0 3,2
958	1 8	0,3 1,0 1,2 2,0 2,1 2,3 3,0 3,1
959	1 9	0,3 1,0 1,2 2,0 2,1 2,3 3,0 3,1 3,2
1019	1 9	0,3 1,0 1,2 1,3 2,0 2,1 2,3 3,1 3,2
1020	1 8	0,3 1,0 1,2 1,3 2,0 2,1 2,3 3,0
1021	1 9	0,3 1,0 1,2 1,3 2,0 2,1 2,3 3,0 3,2
