# Bor = BLANT orbit relative to 0; Boa = BLANT orbit absolute (eg 4:11:11=L3 path)
k	B	O	Bor	Boa	Oo	gName	orbitName
4	3	4	0	6	6	claw	finger
4	3	4	1	7	7	claw	wrist
4	6	3	0	11	4	L3	end
4	6	3	1	12	5	L3	mid
4	7	6	0	13	9	yield	base
4	7	6	1	14	10	yield	top
4	7	6	2	15	11	yield	joint
4	8	5	0	16	8	square	corner
4	9	7	0	17	12	di-tri	tri-tip
4	9	7	1	18	13	di-tri	tri-diag
4	10	8	0	19	14	tetrah	point
5	4	11	0	9	22	plus	point
5	4	11	1	10	23	plus	center
5	10	10	0	25	19	Y	top
5	10	10	1	26	18	Y	bottom
5	10	10	2	27	20	Y	stem
5	10	10	3	28	21	Y	joint
5	11	14	0	29	31	triwalk	leg
5	11	14	1	30	32	triwalk	head
5	11	14	2	31	33	triwalk	neck
5	14	9	0	37	15	L5	end
5	14	9	1	38	17	L5	middle
5	14	9	2	39	16	L5	elbow
5	15	12	0	40	24	jellyfish	leg
5	15	12	1	41	25	jellyfish	head
5	15	12	2	42	26	jellyfish	hip
5	16	16	0	43	35	sign	base
5	16	16	1	44	37	sign	side
5	16	16	2	45	36	sign	top
5	16	16	3	46	38	sign	joint
5	17	17	0	47	39	sign2	base
5	17	17	1	48	40	sign2	side
5	17	17	2	49	40	sign2	top
5	17	17	3	50	38	sign2	joint
5	18	20	0	51	49	bipart	triplet
5	18	20	1	52	50	bipart	pair
5	19	22	0	53	54	gyro	flywheel
5	19	22	1	54	55	gyro	axis
5	22	13	0	59	27	yield	base
5	22	13	1	60	29	yield	top
5	22	13	2	61	30	yield	joint
5	22	13	3	62	28	yield	pole
5	23	19	0	63	45	cyborg	body
5	23	19	1	64	46	cyborg	forehead
5	23	19	2	65	48	cyborg	eyes
5	23	19	3	66	47	cyborg	neck
5	24	23	0	67	56	kite	tail
5	24	23	1	68	57	kite	corner
5	24	23	2	69	58	kite	bottom
5	25	18	0	70	43	hourglass	bulb
5	25	18	1	71	44	hourglass	neck
5	26	15	0	72	34	pentagon	corner
5	27	21	0	73	52	house	roof
5	27	21	1	74	51	house	floor
5	27	21	2	75	53	house	ceiling
5	28	24	0	76	59	bridge	end
5	28	24	1	77	60	bridge	top
5	28	24	2	78	61	bridge	middle
5	29	25	0	79	62	plane	nose
5	29	25	1	80	64	plane	body
5	29	25	2	81	63	plane	wing
5	30	26	0	82	65	house2	roof
5	30	26	1	83	66	house2	floor
5	30	26	2	84	67	house2	ceiling
5	31	27	0	85	68	window	pane
5	31	27	1	86	69	window	center
5	32	28	0	87	70	nclique	almost
5	32	28	1	87	71	nclique	friends
5	33	29	0	89	72	nclique	friends
