human	rat	mouse	fly	worm	yeast	alpaca	cow	horse	pig	sheep	cat	dog	guinea_pig	rabbit	chicken	duck	turkey
Q9Y4K4	D3ZHL6	Q8BPM2	0	0	0	0	F1N2U3	F7A199	A0A287BMI6	W5QHI9	M3WPD3	E2RGP4	H0VR49	G1T4J0	F1NAN8	U3I8E0	G1NLW0
Q9H4B6	A4V8B4	Q8VEB2	0	0	0	0	F1N6E1	F6VRV6	A0A286ZHY8	W5QHJ7	M3WSL3	E2RFL9	A0A286XVT5	G1TE98	E1C3T7	U3I5Z7	G1NLW8
Q14653	Q5XIB0	P70671	0	0	0	0	Q4JF28	F7CTT2	K7GM32	W5PV11	M3W582	F1P7J1	H0VXN2	G1U1Z9	0	0	0
Q9H892	Q68FR0	Q8BW49	0	0	0	0	E1BEU1	F6SKP3	F1SM70	W5Q797	M3X7W1	F1P7Z4	H0V3P9	G1T1N4	A0A1D5NWT7	U3ILQ0	G1MYP4
E9PIW9	A0A0G2K745	D3YXK1	Q9W4W7	0	0	0	0	F6T1W0	A0A287A2N4	W5P992	M3X212	F1PAT4	0	0	0	0	0
Q5XG87	D3ZSY1	Q6PB75	0	0	0	0	E1BEH2	F6Q7S0	F1S0S9	W5PZV8	M3W0E5	E2RJX8	A0A286XKF1	G1TCV1	Q5ZKG9	U3IV05	G1N3M7
P52815	D3ZXF9	Q9DB15	Q9VSR5	O18180	P53163	0	0	F6XAD7	A0A287ARV8	W5QA09	0	0	A0A286Y3J1	0	A0A1L1RTR9	U3J3B3	0
Q7Z406	F1LNF0	Q6URW6	0	0	0	0	F1MM57	0	I3LV99	W5PWH2	M3VUJ1	F1PYS6	A0A286XZ83	0	0	0	0
Q13203	O88599	P70402	0	0	0	0	G3X6W9	F6VIP2	I3LIE7	W5NT37	M3WI89	E2RKV6	H0V4Y1	G1T0G2	0	0	0
Q2MJR0	A0A096MJ78	Q6P6N5	0	0	0	0	E1BDQ0	0	A0A287AVM4	W5P6H6	M3VVH3	E2QY96	A0A286XWS6	G1U959	0	0	0
Q5SXM2	D4A3C9	Q8BP86	Q9VHX0	P91868	P22035	0	E1BCK9	F6VR37	A0A287B0D4	W5P2L9	M3XGD1	J9NSI5	H0V799	0	A0A1L1S0G0	U3IIX8	G1N6N7
Q9H672	D3ZVT6	Q91ZU0	0	0	0	0	E1B9S2	F6WWB4	0	W5PIU0	M3WV72	E2R0E1	A0A286XHC1	G1T6U6	Q5F3B0	U3IGB8	G1NAS7
Q99567	O08658	Q8CEC0	Q9GYU8	0	0	0	Q3SZ56	F6PLL3	A0A287A9U8	W5P0I9	M3X5U7	E2QXG1	H0V1E7	G1SMJ0	A0A1D5PUD5	U3J887	G1MW57
Q7Z2X4	F7EZF5	Q3UBG2	0	0	0	0	A0JNF5	F6ZXS2	D3Y4D8	W5QHD0	A0A2I2U1V1	J9P3K5	A0A286XRT0	G1SQX6	A0A1D5P7N1	U3IV48	G1N2P1
P28906	B1PLB1	Q64314	0	0	0	0	F1MN25	F6S1S0	A0A287A3D8	W5PW72	M3W8J9	F1PE59	H0VS61	G1SJT2	E1BUT3	U3I0T7	G1MYF5
P56817	P56819	P56818	0	0	0	0	Q2HJ40	F6SGS1	F1SB98	W5P5U5	M3VU83	F1P9Q0	Q1KLR6	G1U6Z1	F1N916	U3J3W3	G1MWK8
P03886	P03889	P03888	P18929	P24887	0	Q9MEJ0	Q6QTH1	0	0	O78747	0	P92604	Q9TEH1	O79427	P18936	0	A9XBD9
P03891	P11662	P03893	P03896	0	0	Q9MEI9	Q6QTH0	P48653	O79875	O78748	P48905	Q9ZZ65	Q9TEH0	O79428	P18937	0	Q955U9
P00395	P05503	P00397	P00399	P24893	P00401	Q9MEI8	Q6QTG9	P48659	O79876	O78749	P48888	Q9ZZ64	Q9TEG9	O79429	P18943	0	A9XBE1
P00403	P00406	P00405	P00408	P24894	P00410	Q9MEI7	P68530	P48660	P50667	O78750	P48890	P67780	Q9TEG8	P98049	P18944	0	A9XBE2
P29536	A0A0G2K0D3	Q8BVA4	0	0	0	0	A4IFK3	F6Y249	A0A286ZWL1	W5NPK8	M3VUS5	F6X6W7	A0A286XFQ1	G1ST64	R4GH27	U3J936	G1N1D4
P78414	D4A9L1	P81068	0	0	0	0	E1BJK0	F7D6M5	A0A287AH55	W5P6Z2	A0A2I2UX24	F1PMA0	H0VWJ4	G1U0F4	A0A1D5PSE4	U3J3U8	0
P03928	P11608	P03930	0	0	0	Q9MEI6	P03929	P48663	Q35914	O78751	P48896	Q9ZZ63	Q9TEG7	O79431	0	0	0
Q9Y2D5	F1LPQ9	F7AA26	0	0	0	0	0	F6T089	A0A286ZVZ8	0	A0A2I2UZS7	0	0	G1TEX9	0	0	0
P00846	P05504	P00848	P00850	0	P00854	Q9MEI5	P00847	P48662	0	O78752	0	Q9ZZ62	Q9TEG6	O79432	P14092	0	A9XBE4
P00414	P05505	P00416	P00417	P24891	P00420	Q9MEI4	Q6QTG5	P48661	Q35916	O21619	P48892	Q9ZZ61	Q9TEG5	O79433	P18945	0	F1JUM8
Q6PJF5	F1LWZ3	Q80WQ6	0	0	0	0	E1BLR4	F6ZHX0	F1RZ68	W5PAM2	M3W435	Q00M95	H0VFM2	G1T7M2	E1BVU5	U3I532	G1MYF3
P03897	P05506	P03899	P18930	0	0	Q9MEI3	P03898	P48654	O79880	O78753	P48912	Q9ZZ60	Q9TEG4	O79434	P18938	0	A9XBE6
Q9Y2Y8	D4A834	Q9JL95	0	0	0	0	0	0	0	0	M3WEX9	E2QX50	H0UU15	G1SJ03	A0A1L1RYE4	0	0
Q2M3M2	D3ZG11	Q8VDT1	0	0	0	0	E1B749	F6T6W8	F1S6E1	W5P111	M3VUZ3	E2RB44	0	G1SSE4	F1NNK3	U3IHS2	G1NEE6
P03905	P05508	P03911	P18931	P24892	0	Q9MEI1	P03910	P48655	0	O78755	P48916	Q9ZZ58	Q9TEG2	O79436	0	0	A9XBE8
Q9UHI7	Q9WTW7	Q9Z2J0	0	0	0	0	E1BI45	F6S5U1	I3LCS3	W5Q6H7	M3VX59	F1PRE7	H0VQ77	G1SS11	A0A1D5P7K5	U3IKE0	G1MRD2
P03915	P11661	P03921	P18932	P24896	0	Q9MEI0	Q85BD6	P48656	Q9TDR1	O78756	P48921	Q9ZZ57	0	O79437	P18940	0	A9XBE9
P03923	P03926	P03925	0	0	0	Q9MEH9	P03924	P48657	O79882	O78757	P48926	Q9ZZ56	Q9TEG0	O79438	P18941	0	F1JUN4
P00156	P00159	P00158	P18935	P24890	0	Q9MEH8	P00157	P48665	P24964	P24959	P48886	Q34101	Q9TEF9	P34863	P18946	0	P50663
P19397	P24485	Q61451	0	0	0	0	Q58DM3	F6ZTF2	F1S628	M4WHJ0	M3W8H4	E2QUZ2	H0VGI8	G1T7D2	0	0	0
P14543	F1LM84	P10493	0	0	0	0	F1MWN3	F6XH19	F1RGY5	W5P094	M3WED3	F1PXK3	H0VRI9	0	A0A1D5PJ08	U3II65	G1NH15
Q9H1U4	D4A3L3	Q8BH27	0	0	0	0	F1MLU6	F7CNQ3	F1SME8	W5P6R7	A0A2I2UC58	0	H0VA33	G1SXU0	0	R0LQ38	G1MWG0
Q9NQ03	D3ZNS5	Q8BTH6	0	0	0	0	0	0	A0A287AM06	0	M3WE69	0	H0W5F1	0	R4GL11	U3IW47	G5E7I5
P57075	D3ZY64	Q3V3E1	0	0	0	0	F1MYY9	F6WXV7	I3L5T2	W5PMB7	M3WHF5	A0A140T8E3	A0A286XIL5	G1SQJ1	F1N9L9	U3IKN9	G1NP13
Q96CP2	D4AB36	Q9CQE9	0	0	0	0	E1BBK3	0	I3LNJ8	W5NR27	A0A2I2U808	J9NX81	0	G1TQC0	0	0	0
P0DJ07	D3ZHD3	P0DJE0	Q4QPR8	0	0	0	0	F6U6U4	A0A286ZWE0	W5NVK1	M3WR98	0	A0A286XU75	0	0	0	0
Q6T4P5	B3DM92	Q7TPB0	0	0	0	0	0	F7DJJ4	A0A287BF79	W5PIK7	M3WTA5	E2R0W3	A0A286XUX7	0	A0A1D5PNI7	U3IGJ8	G1MVL8
Q5JSS6	D4A0V5	Q61845	0	0	0	0	Q32LI5	F6YN48	A0A286ZWX5	W5PD80	M3X8F5	J9P6T6	A0A286XFG1	G1SYQ4	F1NP66	R0J9V6	G1N0T2
Q86VI1	D4AC37	Q8BI71	0	0	0	0	F1MBI4	F6W2B4	F1RFW4	W5NXR3	M3WB40	E2REY5	H0VHU0	G1SYD8	E1BUJ3	U3ICP2	G1MUH7
P15529	Q9Z0M4	O88174	0	0	0	0	F1MLR1	F6QHH0	K7GQS2	W5PXA1	M3WZZ6	F1P8Z7	P70105	U3KP03	0	0	0
P20585	F1LQM8	P13705	0	0	P25336	0	F1MLH1	F6Q5I6	A0A287A9R8	W5PZR8	M3W4I5	F1P9S9	H0VIG9	G1TCM7	E1C1F8	U3IHM3	H9H1E8
Q9BV79	A0A140TAE6	Q9DCS3	Q9V6U9	0	P38071	0	F1MEY2	F6VK27	0	W5NWE0	M3VY29	E2R1T2	A0A286XTE7	U3KN23	A0A1D5PNH0	U3IGI1	G1MU65
P05108	A0A0H2UHG1	Q9QZ82	0	0	0	0	F1N060	F6R2A9	P10612	W5P131	M3WST1	E2RHF2	H0UU88	G1U3L3	A0A1D5PE01	U3ITS1	G1MUV6
Q6PI97	D4A4Q6	Q80Y73	0	0	0	0	Q32P68	F6VXR2	F1SUZ8	W5PXG7	M3WK26	E2RCS0	A0A286XSG9	G1T4A2	A0A1L1RYN4	0	G1MY74
Q9NY30	Q5M7A6	O70552	0	0	0	0	E1BMC2	F6REH5	F1SUZ9	W5PXD8	M3W3V1	E2RCR9	H0V050	G1U755	E1C802	R0LF13	G1MXG8
Q9H7P6	D4A732	Q6KAU4	0	0	0	0	0	F6SAX9	A0A287AAQ1	W5PSV3	M3W4U3	F1PM32	A0A286XG13	G1T771	A0A1D5P5L1	U3I490	G1N8X8
Q9H4D0	A0A0G2JXB8	Q9ER65	0	0	0	0	F1MZX3	F6ZBE3	A0A287B3A9	W5PAE9	M3VYH0	J9P192	A0A286XZB9	G1SHT3	A0A1D5PAA2	U3IA37	0
Q96NM4	Q76IQ7	E9Q0B9	0	0	0	0	F1MPI6	F7AF40	I3L726	W5P0G1	A0A2I2U8Z6	J9P793	H0VE58	G1SVA4	A0A1D5P2R4	U3IPI1	G1MU89
Q8TBC4	Q99MI7	Q8C878	Q9V6U8	Q19360	Q99344	0	Q0P5I7	F7B3T4	0	W5PK58	M3X4S3	E2R4G8	A0A286XV72	G1SUM3	E1BT61	U3J0R6	G1NB02
O94900	D4A1U5	Q66JW3	0	0	0	0	A6QLA9	F7BRB0	A0A286ZVR8	W5Q2W5	A0A2I2V0Q1	E2RFT8	H0VHR5	G1SNJ4	Q5F3T5	U3IPU5	G1NF08
O00409	A0A0G2JYT8	Q499D0	0	0	0	0	G3N143	F6ZPA5	A0A286ZLJ9	W5NZI4	M3WHW5	E2REN3	H0V2C5	G1SLQ0	A0A1D5P0G0	R0L0L9	G1NK31
Q7Z2H8	Q924A5	Q8K4D3	0	0	0	0	E1B9A0	F6SNG3	I3LUT9	W5PFT2	M3WHT4	E2RHF1	H0VR04	G1T2L2	0	0	0
P07358	P55314	Q8BH35	0	0	0	0	F1N102	F7AXF6	A0A287AT36	W5PE53	M3W159	E2R141	A0A286XBE4	G1U8Y5	E1C7C1	U3IKF3	G1NG42
Q14654	P70673	Q61743	0	0	0	0	A2VDS4	F6TM38	0	0	M3W7H3	F1PH46	Q9JHJ9	0	F1NBC9	U3ISB5	G1N545
Q14990	P21769	A6H656	0	0	0	0	F1MZM5	F6RCY7	Q29077	W5Q6T4	M3W6P2	J9PBF1	H0VM47	G1TD87	A0A1D5PGS3	U3I1H2	G1NI89
O60784	Q5XI21	O88746	0	0	0	0	Q5BIP4	F6SCH8	A0A287AZ22	W5QAP2	A0A2I2UP45	F1P732	H0VBV6	U3KM53	O12940	U3ILH0	G1NJE2
P56278	D4A3B6	Q60945	0	0	0	0	G3N2C7	F6TBP8	K7GNW6	W5P008	M3X1T5	E2R6L0	A0A286XR61	G1SXS2	A0A1D5PHR7	U3IAM1	0
Q9NRR5	D4A3P1	Q99NB8	0	0	0	0	F1N6D3	F6RV33	F1RLP9	W5P5G4	M3WFQ8	F1PBG5	H0UYM9	G1SSG9	A0A1D5P624	U3INF3	H9H047
Q15024	G3V6K3	Q9D0M0	Q29QQ9	G5EDS8	0	0	E1BEW6	F7BW26	F1SRC7	W5PNT2	M3WIP5	E2RNH9	H0V4A8	G1SED7	A0A1D5P0B9	R0LRB1	G1NGJ3
O14610	D3ZLD6	Q61017	0	0	0	0	P50154	F6UD42	0	W5P8G5	A0A2I2U3R6	O97564	A0A286Y1C6	G1TBE3	A0A1D5PLZ8	R0JH78	0
Q8NCR0	D3Z9C4	Q8BG28	0	0	0	0	A7YY59	F7AGG9	A0A287AH62	W5NZZ7	M3WFX5	E2R4M3	H0VQG7	G1TSD9	F1NVX0	R0L9M5	G1NH46
A0A087WWA1	M0RCQ3	B1AUF7	0	0	0	0	0	0	0	0	A0A2I2UQ38	0	A0A286XUB5	0	0	0	0
Q9UNW9	F1M4H5	A0A1W2P872	0	0	0	0	F1MS84	F6XZJ1	A0A286ZQL5	W5PL68	A0A2I2UG53	F1PUD6	H0W1Y8	G1TIM6	0	0	0
O43921	F1MA19	P52801	0	0	0	0	A5D7J8	0	A0A287ANR3	W5PPB1	0	0	H0W3V0	0	A0A1D5NZN5	0	H9H0Q5
Q2M1V0	F1M478	A1A546	0	0	0	0	F1MMA8	F7CV34	A0A287B9Q8	W5QAC6	A0A2I2V4S5	F1P729	0	G1TPJ9	E1C639	U3IMJ6	G1NJF1
O43301	D3ZC55	Q8K0U4	0	0	0	0	F1MJ70	F6XDN0	I3L8C5	W5Q7Q4	M3VWT1	F1PHB5	A0A286XRI6	G1TQP4	E1BVP6	U3IQN6	G1NFE4
